No,Kode Workcenter,Deskripsi,WERKSX,WERKS
1,WC320,PACK CUTTING SAW 1,3021,3000
2,WC528,PACK CUTTING SAW 2,3021,3000
3,WC529,PACK CUTTING SAW 3,3021,3000
4,WC321,PACK CUTTING SUGII,3021,3000
5,WC322,PACK CNC ER 431P - 1,3021,3000
6,WC323,PACK CNC ER 431P - 2,3021,3000
7,WC324,PACK CNC SHODA - 1,3021,3000
8,WC325,PACK CNC SHODA - 2,3021,3000
9,WC326,PACK CNC HEIAN ZR 442P,3021,3000
10,WC394,PACK GLUEING,3021,3000
11,WC327,PACKAGING BOX SET 1,3021,3000
12,WC305,MA CASTING,3009,3000
13,WC547,MA MANUAL A1,3009,3000
14,WC549,MA WELDING A2,3009,3000
15,WC310,MA GRIND-POL A1,3009,3000
16,WC311,MA GRIND-POL A2,3009,3000
17,WC312,MA GRIND-POL A3,3009,3000
18,WC674,MA GRIND-POL A7,3009,3000
19,WC675,MA GRIND-POL A8,3009,3000
20,WC676,MA WELDING B1,3009,3000
21,WC678,MA GRIND-POL B1,3009,3000
22,WC682,MA GRIND-POL B5,3009,3000
23,WC683,MA GRIND-POL B6,3009,3000
24,WC711,MA GRIND-POL B12,3009,3000
25,WC317,MA PACKING,3011,3000
26,WC209,MF CUTTING 2D 1,3001,3000
27,WC210,MF CUTTING 2D 2,3001,3000
28,WC211,MF CUTTING 3D 1,3001,3000
29,WC212,MF CUTTING 3D 2,3001,3000
30,WC213,MF CUTTING CNC 1,3001,3000
31,WC214,MF MANUAL 1,3001,3000
32,WC306,MF CUTTING CNC 2,3001,3000
33,WC307,MF CUTTING CNC 3,3001,3000
34,WC308,MF CUTTING CNC 4,3001,3000
35,WC634,MF WELDING 1.01,3002,3000
36,WC635,MF WELDING 1.02,3002,3000
37,WC636,MF WELDING 1.03,3002,3000
38,WC637,MF WELDING 1.04,3002,3000
39,WC638,MF WELDING 1.05,3002,3000
40,WC639,MF WELDING 1.06,3002,3000
41,WC640,MF WELDING 1.07,3002,3000
42,WC641,MF WELDING 1.08,3002,3000
43,WC642,MF WELDING 1.09,3002,3000
44,WC643,MF WELDING 1.10,3002,3000
45,WC644,MF WELDING 1.11,3002,3000
46,WC645,MF WELDING 1.12,3002,3000
47,WC646,MF WELDING 1.13,3002,3000
48,WC590,MF GRINDING 1.01,3002,3000
49,WC591,MF GRINDING 1.02,3002,3000
50,WC592,MF GRINDING 1.03,3002,3000
51,WC593,MF GRINDING 1.04,3002,3000
52,WC594,MF GRINDING 1.05,3002,3000
53,WC595,MF GRINDING 1.06,3002,3000
54,WC596,MF GRINDING 1.07,3002,3000
55,WC597,MF GRINDING 1.08,3002,3000
56,WC598,MF GRINDING 1.09,3002,3000
