No,ARBPL,Deskripsi,WERKSX,WERKS
1,WC001,SAWMILL PEMBELAH,1011,1000
2,WC002,SAWMILL CUTTING ,1011,1000
3,WC006,SM PROSES PENGOBATAN,1011,1000
4,WC007,SM PROSES TALLY,1011,1000
5,WC009,KILN DRY CHAMBER 1,1011,1000
6,WC010,KILN DRY CHAMBER 2,1011,1000
7,WC011,KILN DRY CHAMBER 3,1011,1000
8,WC012,KILN DRY CHAMBER 4,1011,1000
9,WC013,KILN DRY CHAMBER 5,1011,1000
10,WC014,KILN DRY CHAMBER 6,1011,1000
11,WC015,KILN DRY CHAMBER 7,1011,1000
12,WC016,KILN DRY CHAMBER 8,1011,1000
13,WC018,SLICER 1,1010,1000
14,WC019,SLICER 2,1010,1000
15,WC021,DRYING MACHINERY,1010,1000
16,WC024,MP. Cutting 1  KMI,1003,1001
17,WC025,MP. Cutting 2  KMI,1003,1001
18,WC587,Pembahanan Finger Joint  KMI,1002,1001
19,WC026,Finger Joint  KMI,1002,1001
20,WC027,Laminatery 1 Rotary 4 wing  KMI,1001,1001
21,WC028,Laminatery 2 Rotary 8 wing KMI,1001,1001
22,WC029,Laminatery 3 Vinita KMI,1001,1001
23,WC030,Laminatery 5 Rotary MK.0023 ( 4 Wing ),1001,1001
24,WC031,Sander  KMI,1001,1001
25,WC819,MLD UNIMATE WW,1001,1001
26,WC820,MLD HIDROMATE WW,1001,1001
27,WC821,MLD POWERMATE WW,1001,1001
28,WC822,MLD PROFIMATE WW,1001,1001
29,WC033,Single Rip 1  KMI,1004,1000
30,WC034,Single Rip 2  KMI,1004,1000
31,WC035,Single Rip 3 ( Laminating ) KMI,1004,1000
32,WC036,Rotary  KMI,1004,1000
33,WC037,Vinita  KMI,1004,1000
34,WC038,Newman  KMI,1004,1000
35,WC779,SANDER WOOD ENGGENEERING,1004,1000
36,WC039,CNC Band Saw  KMI,1004,1000
37,WC742,PACKING PLAYFIELD,1004,1000
38,WC048,Winter Streiger  Wooden Component,1004,1000
39,WC040,MOULDER WEINIG POWERMAT 1000/012 - 7 SPINDLES   MP.0628,1005,1000
40,WC041,MOULDING POWERMATT 2000 KMI,1005,1000
41,WC042,MOULDING POWERMATT 2000 XL,1005,1000
42,WC043,MOULDING U-300 KMI,1005,1000
43,WC044,MANUAL DOWEL&RAIL KMI 1,1005,1000
44,WC045,MOULDING UNIMAT 23 MP.0053,1005,1000
45,WC046,MOULDING UNIMAT 22 E,1005,1000
46,WC047,MOULDING UNIMAT 23 E,1005,1000
47,WC051,PANELING CNC 3 KMI,1012,1000
48,WC052,PANELING CNC 4 KMI,1012,1000
49,WC049,SCHEELING  1 KMI,1006,1000
50,WC050,SCHEELING 2 (FH4330)  KMI,1006,1000
51,WC053,JOSTING   PANELING KMI,1007,1000
52,WC054,KUPER 1,1007,1000
53,WC055,KUPER 2,1007,1000
54,WC056,KUPER 3 ( BENANG ),1007,1000
55,WC057,SINGLE RIP,1007,1000
56,WC058,MANUAL MOTIF CASEGOOD,1008,1000
57,WC059,MANUAL MOTIF LINE C,1008,1000
58,WC585,MANUAL MOTIF KMI 3,1008,1000
59,WC060,NHF VINITA   KMI,1009,1000
60,WC061,COOLPRESS  KMI,1009,1000
61,WC062,PROSES PANEL SENNERSKOV  KMI,1009,1000
62,WC063,KOBAYASHI 1 ( A )  KMI,1009,1000
63,WC064,KOBAYASHI 2 ( D )  KMI,1009,1000
64,WC065,KOBAYASHI 3 ( PPI/DRAWER )  KMI,1009,1000
65,WC066,TAIHEI ( C )  KMI,1009,1000
66,WC067,YAMAMOTO ( DOOR/GT )  KMI,1009,1000
67,WC068,MEMBRAN SEIBU  KMI,1009,1000
68,WC070,HASSEMEN & WARE BRUSH KMI,1009,1000
69,WC071,VINITA BENDING 1  KMI,1009,1000
70,WC069,SANDER AMITEX  KMI,1009,1000
71,WC051,PEMBAHANAN PANELING CNC 3,1012,1000
72,WC052,PANELING CNC PLANNER,1012,1000
73,WC080,CNC ROUTER SHODA NCW-516-1346 MP.0553,1012,1000
74,WC737,CNC BANDSAW,1012,1000
75,WC072,CNC ROUTER HEIAN NC-531P-FS MP.0558,1012,1000
76,WC106,CASE GOOD B PROSES MANUAL 1,1012,1000
77,WC107,CNC ROUTER HEIAN NC-442PF,1012,1000
78,WC108,CNC ROUTER SHODA  NC-516-L,1012,1000
79,WC831,CASE GOOD B PROSES MANUAL 2,1012,1000
80,WC109,PROSES UV,1012,1000
81,WC110,FINAL SANDING ASSY DRAWER,1012,1000
82,WC111,CASE GOOD B ASSEMBLY DRAWER,1012,1000
83,WC478,CASE GOOD B ASSEMBLY DRAWER LINE 2,1012,1000
84,WC073,CNC 2 NC.163 SHODA MP.0187,1013,1000
85,WC075,CNC ROUTER HEIAN NC-271 PMC   UN REG MP.0606,1013,1000
86,WC079,CNC ROUTER SHODA NC291-6716   MP.0633,1013,1000
87,WC569,MESIN CNC HEIAN NC 151 MC,1013,1000
88,WC818,PROSES ASSEMBLY PROJECT,1013,1000
89,WC089,PROSES PAINTING / OLI PROJECT,1013,1000
90,WC088,PROSES PACKING PALET,1013,1000
91,WC292,CNC 8 HYPSOS 48/18 PX5,2015,2000
92,WC552,CNC 11 HEIAN 431,2015,2000
93,WC294,MANUAL,2015,2000
94,WC289,CNC 5 HEIAN 251 PMC,2015,2000
95,WC286,CNC 2 HEIAN 631P,2015,2000
96,WC293,CNC 9 BACCI MASTER FLAT 1865,2015,2000
97,WC291,CNC 7 BACCI MASTER JET 4100/7 AXIES MACHINING CENTER,2015,2000
98,WC082,CNC BACCI MASTER FLAT MAST/02 DOOR&GG,2015,2000
99,WC083,FINAL SANDING 2,2016,2000
100,WC085,PROSES ASSEMBLY  ,2016,2000
101,WC086,PROSES SANDING BRUSH,2016,2000
102,WC783,FINAL SANDING 1,2016,2000
103,WC789,PAINTING PLAYFILED,2025,2000
104,WC790,MACHINING CNC PLAYFIELD + SANDING  SEALER,2025,2000
105,WC796,PACKING PLAYFIELD,2025,2000
106,WC090,CASE GOOD C1 BED MACHINING MANUAL,2003,2000
107,WC091,CNC ROUTER (9) HEIAN ZR442PE MP.0342,2003,2000
108,WC092,CNC ROUTER HEIAN NC-431P MP.0602,2003,2000
109,WC093,CNC CARVING (1) KITAKO CVH4-2300-5A  MP.0190,2003,2000
110,WC094,CNC NC 272P HEIAN MP.0591,2003,2000
111,WC095,CNC ROUTER HEIAN ER-43 1P HEIAN ER-431P MP.0550,2003,2000
112,WC096,CNC Ares 4818,2003,2000
113,WC097,CNC BACCI MASTER 1866,2003,2000
114,WC788,SANDER LOCATELY,2003,2000
115,WC795,SUB ASSY COUNTER BALIK,2003,2000
116,WC774,SANDING GROUP,2004,2000
117,WC098,CG C Sanding Komponen Dining,2004,2000
118,WC101,CG C Sanding Komponen Bed,2004,2000
119,WC767,PALANG KUDA TOP GROUP,2004,2000
120,WC099,Palang Kuda Top 1,2004,2000
121,WC474,Palang Kuda Top 2,2004,2000
122,WC100,Palang kuda Base ,2004,2000
123,WC768,PALANG KUDA HB/FB GROUP,2004,2000
124,WC102,Palang Kuda HB/FB 1,2004,2000
125,WC477,Palang Kuda HB/FB 2,2004,2000
126,WC103,Palang Kuda Rail ,2004,2000
127,WC475,Palang Kuda Top 3,2004,2000
128,WC476,Palang Kuda Top 4,2004,2000
129,WC104,MP UPHOLSTERY 1,2014,2000
130,WC686,MP UPHOLSTERY 2,2014,2000
131,WC105,ASSY UPHOLSTERY,2014,2000
132,WC112,MOULDING MP0004,2009,2000
133,WC113,RIP MP.0569,2009,2000
134,WC114,MZ 1 MP0494,2009,2000
135,WC115,MZ 2 MP0559,2009,2000
136,WC116,BANSAW MP0049,2009,2000
137,WC117,KYUDO 2CHKYUDO,2009,2000
138,WC118,CHAIR CLEAT,2009,2000
139,WC119,PROSES BUBUT CHAIR 2CHRBBT,2009,2000
140,WC120,CNC 5AXIS BALESTRINI POWER MP.0527,2010,2000
141,WC121,CNC 5AXIS BACCI MP.0519,2010,2000
142,WC122,CNC COPY SHAPER BALESTRINI MP.0452,2010,2000
143,WC124,CNC 3 AXIS HEIAN MP.0592,2010,2000
144,WC777,CNC KITAKO GROUP,2010,2000
145,WC123,CNC CARVING KITAKO HS-10 MP.0507,2010,2000
146,WC125,CNC CARVING LOW HEADKITAKO MP.0459,2010,2000
147,WC126,CNC 3 AXIS HEIAN MP.0600,2010,2000
148,WC127,CNC TWISTER 200 MK.0009,2010,2000
149,WC128,CNC 5AXIS BALESTRINI IDEA,2010,2000
150,WC129,CHAIR SANDER COMPONEN,2011,2000
151,WC814,CHAIR SANDING KOMP 1,2011,2000
152,WC815,CHAIR SANDING KOMP 2,2011,2000
153,WC816,CHAIR SANDING KOMP 3,2011,2000
154,WC817,CHAIR SANDING KOMP 4,2011,2000
155,WC130,CHAIR SUB ASSY  ,2011,2000
156,WC810,CHAIR SUB ASSY  1,2011,2000
157,WC811,CHAIR SUB ASSY  2,2011,2000
158,WC131,CHAIR ASSEMBLY BODY,2011,2000
159,WC132,ASSEMBLY CHAIR,2011,2000
160,WC812,CHAIR ASSEMBLY BODY 1,2011,2000
161,WC813,CHAIR ASSEMBLY BODY 2,2011,2000
162,WC758,CHAIR FITTING GENERAL,2011,2000
163,WC479,CHAIR FITTING 1,2011,2000
164,WC480,CHAIR FITTING 2,2011,2000
165,WC481,CHAIR FITTING 3,2011,2000
166,WC482,CHAIR FITTING 4,2011,2000
167,WC133,PAINTING  CHAIR,2011,2000
168,WC759,PAINTING CHAIR GENERAL,2012,2000
169,WC483,PAINTING CHAIR A1,2012,2000
170,WC484,PAINTING CHAIR A2,2012,2000
171,WC491,PACKING Chair,2013,2000
172,WC791,Proses Bleaching,2011,2000
173,WC792,Proses Bleaching 1,2011,2000
174,WC793,Proses Bleaching 2,2011,2000
175,WC794,Proses Bleaching 3,2011,2000
176,WC782,PAINTING METAL  GENERAL,2023,2000
177,WC485,PAINTING CHAIR A3 ,2023,2000
178,WC486,PAINTING CHAIR A4,2023,2000
179,WC487,PAINTING CHAIR B1,2023,2000
180,WC488,PAINTING CHAIR B2 ,2023,2000
181,WC489,PAINTING CHAIR B3 ,2023,2000
182,WC490,PAINTING CHAIR B4,2023,2000
183,WC782,PAINTING metal GENERAL,2024,2000
185,WC847,Painting METAL SBY Sprayboth D4,2024,2000
186,WC848,Painting METAL SBY Sprayboth D5,2024,2000
187,WC849,Painting METAL SBY Sprayboth D6,2024,2000
188,WC850,Painting METAL SBY Sprayboth D7,2024,2000
189,WC851,Painting METAL SBY Sprayboth D8,2024,2000
190,WC137,Proses Cutting Carton,2019,2000
191,WC138,PROSES SUPORT SKID,2019,2000
192,WC776,PROSES SUPORT FOAM 1,2019,2000
193,WC832,PROSES SUPORT FOAM 2,2019,2000
194,WC139,Packaging Cnc Router HeianNC-442P ( CNC),2019,2000
195,WC140,Packaging Cnc Shoda NCB-615 ( CNC 4 ),2019,2000
196,WC141,PROSES Machining CnC ER431P,2019,2000
197,WC142,CNC BIESSE MT0051,2019,2000
198,WC778,PROSES SABLON,2019,2000
199,WC143,PROSES LEM ASSEMBLY ,2019,2000
200,WC144,PROSES PACKAGING BOX SET CASE GOODS,2019,2000
201,WC145,MANUAL  SOLID,2001,2000
202,WC146,CNC BALESTRINI IDEA POWER 300 ( IDEA 1 ),2001,2000
203,WC147,CNC KITAKO MFG 1152 ( CNC KITAKO ),2001,2000
204,WC148,CNC KITAKO VF-05065 MP.0567 ( KITAKO 2 ),2001,2000
205,WC149,CNC ROUTER HEIAN ER 431P ( CNC ER431 ),2001,2000
