id,wc_induk,nama_wc_induk,workcenter,nama_workcenter,kode_laravel,plant,created_at,updated_at
1,WC742,"SG ASSY GROUP 1",WC390,"SG ASSY A1",3018,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
2,WC742,"SG ASSY GROUP 1",WC391,"SG ASSY A2",3018,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
3,WC743,"SG ASSY GROUP 2",WC554,"SG ASSY A5",3018,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
4,WC743,"SG ASSY GROUP 2",WC553,"SG ASSY A4",3018,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
5,WC744,"CGD ASSY GROUP A1",WC418,"CGD ASSEMBLY A1",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
6,WC744,"CGD ASSY GROUP A1",WC419,"CGD ASSEMBLY A2",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
7,WC744,"CGD ASSY GROUP A1",WC420,"CGD ASSEMBLY A3",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
8,WC744,"CGD ASSY GROUP A1",WC421,"CGD ASSEMBLY A4",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
9,WC745,"CGD ASSY GROUP A2",WC422,"CGD ASSEMBLY A5",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
10,WC745,"CGD ASSY GROUP A2",WC423,"CGD ASSEMBLY A6",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
11,WC745,"CGD ASSY GROUP A2",WC424,"CGD ASSEMBLY A7",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
12,WC745,"CGD ASSY GROUP A2",WC425,"CGD ASSEMBLY A8",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
13,WC746,"CGD ASSY GROUP A3",WC426,"CGD ASSEMBLY A9",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
14,WC746,"CGD ASSY GROUP A3",WC427,"CGD ASSEMBLY A10",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
15,WC746,"CGD ASSY GROUP A3",WC428,"CGD ASSEMBLY A11",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
16,WC747,"CGD ASSY GROUP B1",WC430,"CGD ASSEMBLY B1",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
17,WC747,"CGD ASSY GROUP B1",WC431,"CGD ASSEMBLY B2",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
18,WC747,"CGD ASSY GROUP B1",WC432,"CGD ASSEMBLY B3",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
19,WC747,"CGD ASSY GROUP B1",WC433,"CGD ASSEMBLY B4",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
20,WC748,"CGD ASSY GROUP B2",WC434,"CGD ASSEMBLY B5",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
21,WC748,"CGD ASSY GROUP B2",WC435,"CGD ASSEMBLY B6",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
22,WC748,"CGD ASSY GROUP B2",WC436,"CGD ASSEMBLY B7",3014,3000,"2025-12-05 13:00:06","2025-12-05 13:00:06"
