PLANT,KODE WC,DESKRIPSI,START TIME,END TIME,OPERATIING TIME,CAPACITY
1000,WC001,SAWMILL PEMBELAH,,,,
1000,WC002,SAWMILL CUTTING,,,,
1000,WC006,SM PROSES PENGOBATAN,,,,
1000,WC007,SM PROSES TALLY,,,,
1000,WC009,KILN DRY CHAMBER 1,,,,
1000,WC010,KILN DRY CHAMBER 2,,,,
1000,WC011,KILN DRY CHAMBER 3,,,,
1000,WC012,KILN DRY CHAMBER 4,,,,
1000,WC013,KILN DRY CHAMBER 5,,,,
1000,WC014,KILN DRY CHAMBER 6,,,,
1000,WC015,KILN DRY CHAMBER 7,,,,
1000,WC016,KILN DRY CHAMBER 8,,,,
1000,WC018,SLICER 1,,,,
1000,WC019,SLICER 2,,,,
1000,WC021,DRYING MACHINERY,,,,
1001,WC024,MP. Cutting 1 KMI,,,,
1001,WC025,MP. Cutting 2 KMI,,,,
1001,WC587,Pembahanan Finger Joint KMI,,,,
1001,WC026,Finger Joint KMI,,,,
1001,WC027,Laminatery 1 Rotary 4 wing KMI,,,,
1001,WC028,Laminatery 2 Rotary 8 wing KMI,,,,
1001,WC029,Laminatery 3 Vinita KMI,,,,
1001,WC030,Laminatery 5 Rotary MK.0023 ( 4 Wing ),,,,
1001,WC031,Sander KMI,,,,
1001,WC819,MLD UNIMATE WW,,,,
1001,WC820,MLD HIDROMATE WW,,,,
1001,WC821,MLD POWERMATE WW,,,,
1001,WC822,MLD PROFIMATE WW,,,,
1000,WC033,Single Rip 1 KMI,,,,
1000,WC034,Single Rip 2 KMI,,,,
1000,WC035,Single Rip 3 ( Laminating ) KMI,,,,
1000,WC852,Single Rip 4 WE,,,,
1000,WC036,Rotary KMI,,,,
1000,WC037,Vinita KMI,,,,
1000,WC038,Newman KMI,,,,
1000,WC779,SANDER WOOD ENGGENEERING,,,,
1000,WC041,MOULDING POWERMATT 2000 KMI,,,,
1000,WC042,MOULDING POWERMATT 2000 XL,,,,
1000,WC043,MOULDING U-300 KMI,,,,
1000,WC044,MANUAL DOWEL&RAIL KMI 1,,,,
1000,WC045,MOULDING UNIMAT 23 MP.0053,,,,
1000,WC046,MOULDING UNIMAT 22 E,,,,
1000,WC047,MOULDING UNIMAT 23 E,,,,
1000,WC051,PEMBAHANAN PANELING CNC 3,,,,
1000,WC052,PANELING CNC PLANNER,,,,
1000,WC049,SCHEELING 1 KMI,,,,
