No,WC Asal,WC Tujuan,Status,Plant
1,WC232,WC233,Compatible,3000
2,WC232,WC234,Compatible,3000
3,WC232,WC235,Compatible,3000
4,WC233,WC232,Compatible,3000
5,WC233,WC234,Compatible,3000
6,WC233,WC235,Compatible,3000
7,WC233,WC236,Compatible With Condition,3000
8,WC233,WC239,Compatible With Condition,3000
9,WC233,WC244,Compatible With Condition,3000
10,WC233,WC248,Compatible With Condition,3000
11,WC234,WC233,Compatible,3000
12,WC234,WC232,Compatible,3000
13,WC234,WC235,Compatible,3000
14,WC234,WC236,Compatible With Condition,3000
15,WC234,WC239,Compatible With Condition,3000
16,WC234,WC244,Compatible With Condition,3000
17,WC234,WC248,Compatible With Condition,3000
18,WC235,WC233,Compatible,3000
19,WC235,WC234,Compatible,3000
20,WC235,WC234,Compatible,3000
21,WC235,WC236,Compatible With Condition,3000
22,WC235,WC239,Compatible With Condition,3000
23,WC235,WC244,Compatible With Condition,3000
24,WC235,WC248,Compatible With Condition,3000
25,WC236,WC233,Compatible With Condition,3000
26,WC236,WC234,Compatible With Condition,3000
27,WC236,WC235,Compatible With Condition,3000
28,WC237,WC241,Compatible With Condition,3000
29,WC237,WC242,Compatible With Condition,3000
30,WC237,WC243,Compatible With Condition,3000
31,WC238,,tidak Compatible,3000
32,WC239,WC233,Compatible With Condition,3000
33,WC239,WC234,Compatible With Condition,3000
34,WC239,WC235,Compatible With Condition,3000
35,WC240,WC241,Compatible With Condition,3000
36,WC240,WC242,Compatible With Condition,3000
37,WC240,WC243,Compatible With Condition,3000
38,WC241,WC242,Compatible,3000
39,WC241,WC243,Compatible,3000
40,WC241,WC240,Compatible With Condition,3000
41,WC241,WC237,Compatible With Condition,3000
42,WC242,WC241,Compatible,3000
43,WC242,WC243,Compatible,3000
44,WC242,WC240,Compatible With Condition,3000
45,WC242,WC237,Compatible With Condition,3000
46,WC243,WC241,Compatible,3000
47,WC243,WC242,Compatible,3000
