NO,USER,SAP_USER,KODE LARAVEL,MRP,SUB DEVISI,DEVISI,PLANT
1,YENI,KMI-U081,1001,WW1,LAMINATING,WOOD WORKING,1001
2,YENI,KMI-U081,1001,WW4,LAMINATING,WOOD WORKING,1001
3,YENI,KMI-U081,1003,WW3,MP.WW,WOOD WORKING,1001
4,BADAR,KMI-U082,1002,WW2,FINGER JOINT,WOOD WORKING,1001
5,YUNI,KMI-U086,1004,WE1,MP WE,WOOD ENGENEERING,1000
6,YUNI,KMI-U086,1004,WE2,LMNT WE,WOOD ENGENEERING,1000
7,SUSILO,KMI-U165,1005,WM1,MOULDING,MOULDING,1000
8,KHUSNUL,KMI-U083,1006,PN 1,MP PANEL,PANELING,1000
9,WIWIN,KMI-U097,1007,PV1,MP VEENER LURUS,PANELING,1000
10,WIWIN,KMI-U097,1007,PV2,MP VEENER LURUS,PANELING,1000
11,WIWIN,KMI-U097,1007,VN1,MP VEENER LURUS,PANELING,1000
12,WIWIN,KMI-U097,1008,VN2,MP VEENER MOTIVE,PANELING,1000
13,RICA,KMI-U110,1009,PN2,PANELING,PANELING,1000
14,RICA,KMI-U110,1009,PN3,PANELING,PANELING,1000
15,ANGGI,KMI-U170,1010,RW3,SLICER,SLICER,1000
16,HENDRA,KMI-U168,1011,RW1,SAWMIL,SAWMIL,1000
17,LUKY,KMI-U059,1011,RW1,KLIN DRY,KLIN DRY,1000
18,EKO,KMI-U92,1012,GW1,MACHINING,DRAWER BOX,1000
19,EKO,KMI-U92,1012,GW2,PAINTING,DRAWER BOX,1000
20,EKO,KMI-U92,1012,GW3,ASSY,DRAWER BOX,1000
21,EKO,KMI-U92,1013,PJ1,MACHINING,PROJECT,1000
22,EKO,KMI-U92,1013,PJ2,ASSY,PROJECT,1000
23,EKO,KMI-U92,1013,PJ3,PAINTING,PROJECT,1000
24,EKO,KMI-U92,1013,PJ4,PACKING,PROJECT,1000
25,RIBKHA,KMI-U121,2015,GT1,MACHINING,DOOR & SPORT GAME SURABAYA,2000
26,RIBKHA,KMI-U121,2016,GT2,ASSY,DOOR & SPORT GAME SURABAYA,2000
27,ANGGI,KMI-U170,2025,GT5,PLAYFIELD,BED & DINING,2000
28,ANGGI,KMI-U170,2025,GT6,PLAYFIELD,BED & DINING,2000
29,ANGGI,KMI-U170,2025,GT7,PLAYFIELD,BED & DINING,2000
30,ELVIRA,KMI-U098,2003,C11,MACHINING,BED & DINING,2000
31,ELVIRA,KMI-U098,2004,C12,ASSY,BED & DINING,2000
32,IKE,KMI-U103,2014,UH1,MP UPH,UPH,2000
33,IKE,KMI-U103,2014,UH2,UPH,UPH,2000
34,ELLA,KMI-U090,2009,CH1,MP CHAIR,CHAIR,2000
35,ELLA,KMI-U090,2010,CH2,MACHINING CHAIR,CHAIR,2000
36,DIVA,KMI-U090,2011,CH9,ASSY CHAIR,CHAIR,2000
37,DIVA,KMI-U091,2011,CH7,ASSY CHAIR,CHAIR,2000
38,DIVA,KMI-U091,2011,CH3,ASSY CHAIR,CHAIR,2000
39,DIVA,KMI-U091,2012,CH4,PAINTING CHAIR,CHAIR,2000
40,DIVA,KMI-U091,2013,CH5,PACKING CHAIR,CHAIR,2000
41,DYAH,KMI-U044,2023,MF4,PTG METAL,CHAIR,2000
42,DYAH,KMI-U044,2024,MF4,PTG METAL,CHAIR,2000
43,EKA,KMI-U114,2019,CP2,MACHINING BOX,BOX PACKAGING,2000
43,EKA,KMI-U114,2019,RW6,MACHINING BOX,BOX PACKAGING,2000
44,EKA,KMI-U114,2019,CSK,MP BOX,BOX PACKAGING,2000
45,EKA,KMI-U114,2019,CP3,ASSY BOX,BOX PACKAGING,2000
46,WINDA,KMI-U088,2001,GA1,MACHINING CASE,MACHINING CASE,2000
47,WINDA,KMI-U088,2001,GA2,MACHINING CASE,MACHINING CASE,2000
48,RISMA,KMI-U108,2005,EB2,EDGE BADING,EDGE BADING,2000
49,PHILIP,KMI-U085,2002,GD1,FINISHING ASSY,ASSEMBLE CASE,2000
50,PHILIP,KMI-U085,2002,GD2,SUB ASSY,ASSEMBLE CASE,2000
51,PHILIP,KMI-U085,2002,GD3,SUB ASSY,ASSEMBLE CASE,2000
52,NOVI,KMI-U095,2007,GF1,PINDAHAN PUSHPOL,FINISHING,2000
53,SELLY,KMI-U102,2007,GF1,PINDAHAN PUSHPOL,FINISHING,2000
54,SILVI,KMI-U096,2008,GF2,PACKING,FINISHING,2000
55,DWI AGUSTINA,KMI-CT08,2021,MF1,,SUB ASSY SURABAYA,2000
56,DWI AGUSTINA,KMI-CT08,2022,MF2,,ASSY SURABAYA,2000
57,RISNA,KMI-U040,2027,RD5,DRAWING,RND SURABAYA,2000
58,OKTA,KMI-U100,2026,RD1,PRODUCTION SAMPLE MAKER,RND SURABAYA,2000
59,OKTA,KMI-U100,2026,RD2,PRODUCTION SAMPLE MAKER,RND SURABAYA,2000
60,OKTA,KMI-U100,2026,RD3,PRODUCTION SAMPLE MAKER,RND SURABAYA,2000
61,OLIP,KMI-U063,1201,WH1,HARDWARE TERBUNGKUS,WARE HOUSE,2000
62,ARUM,KMI-U128,3018,DR3,MACHINING - ECHO,PLANT E,3000
63,RANGGA,KMI-U139,3019,G31,FINISHING - ECHO,PLANT E,3000
64,ARFINA,KMI-U117,3012,D21,MACHINING - DELTA,PLANT D,3000
65,ARFINA,KMI-U117,3013,D26,EDGE BANDING - DELTA,PLANT D,3000
66,ARUM,KMI-U128,3014,D27,ASSY BODY - DELTA,PLANT D,3000
67,ARUM,KMI-U128,3014,D22,ASSEMBLY - DELTA,PLANT D,3000
68,FIKI,KMI-U124,3015,D23,PAINTING - DELTA,PLANT D,3000
69,FIKI,KMI-U124,3015,D28,PAINTING - DELTA,PLANT D,3000
70,FIKI,KMI-U124,3016,D24,PACKING - DELTA,PLANT D,3000
71,NOVITA,KMI-U132,3001,MW1,PEMBAHANAN CUTTING - CHARLY,PLANT C,3000
72,NOVITA,KMI-U132,3001,MW2,PEMBAHANAN CUTTING - CHARLY,PLANT C,3000
73,NOVITA,KMI-U132,3001,MW3,PEMBAHANAN CUTTING - CHARLY,PLANT C,3000
74,MAISA,KMI-U115,3002,MF1,ASSY COMPONENT - CHARLY,PLANT C,3000
75,MAISA,KMI-U115,3003,MF2,ASSY UNIT - CHARLY,PLANT C,3000
82,MAISA,KMI-U115,3009,MA1,MA CASTING - BRAVO,PLANT B,3000
83,MAISA,KMI-U115,3009,MA2,MA MACHINING - BRAVO,PLANT B,3000
84,MAISA,KMI-U115,3009,MA3,MA ASSEMBLY - BRAVO,PLANT B,3000
74,SAFRI,KMI-U129,3002,MF1,ASSY COMPONENT - CHARLY,PLANT C,3000
75,SAFRI,KMI-U129,3003,MF2,ASSY UNIT - CHARLY,PLANT C,3000
76,MUSTAKIM,KMI-U141,3004,MF3,POWDER COATING - CHARLY,PLANT C,3000
